X_SMHI;Y_SMHI;Name;Year;Month;Day;Depth m;Temp_ øC;pH ;Cond_ mS/m25øC;Ca meq/l;Mg meq/l;Na meq/l;K meq/l;Alk_/Acid meq/l;SO4_IC meq/l;Cl meq/l;NO2+NO3-N ug/l;Tot-N_ps ug/l;Tot-P ug/l;Abs__F 420nm/5cm;TOC mg/l;Si mg/l
669681;163407;FISKARFJÄRDEN;2005;11;29;1;1.1;7.97;35.4;1.742;0.526;1.277;0.092;2.114;0.236;1.428;1;547;9;0.041;16;0.1
669683;157918;BRAMSÖFJÄRDEN;2005;11;28;1;2.6;7.08;3.6;0.211;0.059;0.091;0.013;0.163;0.061;0.048;116;393;10;0.151;7.8;1.88
669718;162946;BRUKSDAMMEN;2005;11;29;1;0.7;7.43;15.5;1.284;0.145;0.223;0.033;1.184;0.049;0.06;1;400;11;0.146;17.3;0.69
669828;161229;ÅKERBYSJÖN;2005;11;29;1;0.4;7.34;9.64;0.793;0.104;0.15;0.021;0.677;0.072;0.123;26;459;23;0.236;20.8;0.65
669896;162395;SÖDRA ÅSJÖN;2005;11;29;1;1.2;7.76;15.3;1.276;0.144;0.225;0.027;1.149;0.154;0.199;12;447;12;0.153;18.3;0.48
670047;162237;NORRA ÅSJÖN;2005;11;29;1;0.9;7.55;13.9;1.124;0.135;0.218;0.025;1.022;0.134;0.196;20;424;13;0.166;18.6;0.4
670108;161862;SKÄLSJÖN;2005;11;29;1;0.7;7.51;17.4;1.37;0.178;0.301;0.035;1.244;0.207;0.293;96;432;15;0.213;20.1;0.97
670424;161382;LANDHOLMSSJÖN;2005;11;29;1;1.2;7.67;12;1.033;0.102;0.214;0.022;0.896;0.088;0.167;28;678;12;0.247;24.5;0.81
651293;153607;SÅGKÄRRET;2005;11;18;1;3.7;6.85;18.8;0.514;0.147;0.985;0.05;0.367;0.166;0.965;325;787;50;0.154;11.7;2.42
651862;153431;VIRLÅNGEN;2005;11;18;1;5.9;7.03;6.04;0.268;0.096;0.202;0.019;0.199;0.11;0.183;19;1039;15;0.101;9.7;1.5
651914;156881;HOVRASJÖN;2005;11;18;1;3.6;7.61;9.46;0.381;0.283;0.263;0.068;0.657;0.054;0.179;15;646;96;0.214;19.3;0.1
651974;153903;ENAREN;2005;11;18;1;4.8;7.52;10.9;0.674;0.237;0.189;0.065;0.648;0.205;0.146;30;637;48;0.14;16.2;0.29
652666;155161;HALLBOSJÖN;2005;11;18;1;5.3;7.66;15.1;0.901;0.272;0.308;0.062;0.79;0.355;0.259;74;611;40;0.041;10.8;0.2
652908;152969;LUNDSBOLSSJÖN;2005;11;27;1;2.9;7.4;15.3;0.962;0.318;0.258;0.058;0.92;0.254;0.316;41;1040;32;0.089;12.7;1.72
653146;152979;ÄLGSJÖN;2005;11;27;1;2.9;7.27;16.2;1.294;0.275;0.157;0.04;1.301;0.24;0.126;23;854;15;0.058;10.9;3.13
653270;159293;MÖRTSJÖN;2005;11;22;1;3.4;6.79;4.48;0.156;0.13;0.126;0.016;0.156;0.102;0.09;8;289;13;0.084;8.5;1.65
653475;153875;TÄLJAREN;2005;11;27;1;3.9;7.63;16.1;0.846;0.465;0.298;0.071;0.962;0.372;0.263;298;513;28;0.054;9.7;1.33
653566;153100;KÅRTORPSSJÖN;2005;11;27;1;3.7;7.4;15.3;0.906;0.23;0.328;0.064;0.721;0.347;0.382;489;1079;37;0.065;9.3;1.63
653651;152831;FORSSJÖSJÖN;2005;11;27;1;4.4;7.32;15.1;0.88;0.22;0.342;0.064;0.67;0.346;0.382;695;1037;36;0.062;9.1;1.43
653790;157010;TROSASJÖN;2005;11;22;1;5.1;6.75;5.01;0.177;0.15;0.147;0.023;0.195;0.113;0.092;96;404;13;0.081;9.7;1.21
653821;157703;MALMASJÖN;2005;11;22;1;2.1;7.55;15.2;0.844;0.423;0.283;0.068;1.22;0.112;0.24;4;888;71;0.08;10.4;2.21
653847;151668;BJÄLKEN;2005;11;27;1;2.8;7.13;8.16;0.446;0.131;0.18;0.036;0.33;0.208;0.178;41;578;21;0.059;9;0.42
653853;152255;DUVEHOLMSSJÖN;2005;11;27;1;2.8;7.39;13.7;0.857;0.204;0.252;0.053;0.675;0.35;0.277;47;545;31;0.059;9.9;0.52
653884;158250;STORTRÖN;2005;11;22;1;4.9;7.1;5.67;0.277;0.14;0.123;0.016;0.208;0.163;0.079;2;403;15;0.05;8.4;1.38
654016;157360;HACKSJÖN;2005;11;22;1;4.3;6.65;3.45;0.083;0.093;0.11;0.016;0.083;0.108;0.072;2;293;12;0.015;5.8;1.1
654143;153019;HJÄLMSJÖN;2005;11;27;0.5;0.9;6.8;16.1;0.753;0.348;0.462;0.074;0.697;0.271;0.502;569;1083;69;0.249;16.3;5.25
654188;154289;VECKELN;2005;11;27;1;3.3;7.45;14.4;0.626;0.385;0.382;0.076;0.678;0.299;0.364;304;871;65;0.152;11.3;2.19
